admin@master:~$ iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Iozone: Performance Test of File I/O
                Version $Revision: 3.506 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa,
                     Alexey Skidanov, Sudhir Kumar.

        Run began: Sun Feb  2 16:09:21 2025

        Network distribution mode enabled.
        Auto Mode
        Selected test not available on the version.
        Using maximum file size of 1048576 kilobytes.
        Command line used: iozone -+m iozone_config -a -i0 -i1 -i2 -i3 -i4- -i5 -i6 -i7 -i8 -i9 -i10 -i11 -i12 -g 1G
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
           65536    8192   2871483   5828524  10369305   8490225  10455684   6347368  10656327    8357033   11393522   4472846   3773162   9797541  11204503
           65536   16384   2880570   4734637   8498888   8643740   7880717   5582772   8711678    5896667    6528731   4474011   5205350   7531973   9242139
          131072      64   1877313   6208646  11215202  12667533  10772807   6087308  10503388   14870802   10824350   5545202   6291854  10850199  12866464
          131072     128   3190563   7410625   9886306  12480889  10795654   5059887  11479360   16331253   10100457   5945696   5764705  11401510  12526105
          131072     256   3209001   7139333  13673202  12664031  10967520   5868455  11718422   16765547   13487363   5143682   5729439  11087182  12279611
          131072     512   3390377   5906030   9529018  12114814  11129605   6194305  11317016   13399264   12021564   5952134   6063139   9704118   9935799
          131072    1024   3173966   6420670  11854111  12843920  11035770   6519657  11528951   11335450   11007046   5779189   5465432  10566170  12576539
          131072    2048   3201563   6944973  11713429  12981000  11892061   7104641  11446376   13382955   13281113   5726634   5384336  11161692  12644225
          131072    4096   2849763   6770658  13494647  12530673  12786266   5892168   9299799   12801152   11011676   4965199   4452300  11165545  11866905
          131072    8192   2561151   5992685   9317609  11389699  10374550   5887940  12652955   11173942   12718231   4100488   4102661  11585805  11197840
          131072   16384   2799480   4765409   8500571   9603760   9686165   4275965   8491905    6514481    8466534   4204510   4598858   8838261   8876649
          262144      64   2212538   1420596  12384564  11548181  10867015   1538495  11636914   16415814   10329988   1449350   1541018  12280681  12375782
          262144     128   1900077   2465218  11989160  12817538  13443302   2907477  11737413   15584236   11811934   2698262   2865992  12207463  12310657
          262144     256   2284202   2703576  10645537  12265201  11109229   2796616  11056723   13777511   11438375   2902328   2564280  11381188  11953707
          262144     512   2212894   2593892  12023247  12279036  11412967   2363982  11557892   14187648   11808889   2750348   3095665   9951880  12488375
          262144    1024   2350283   2981517  10816236  12897072  12002379   3684285  11967889   12705123   11781179   2550161   2400340  12335517  12523081
          262144    2048   1911297   2479064  11009339  12859663  11817901   2974178  11910845   13315662   11814219   2489876   2522898  11572612  12078058
          262144    4096   2172424   2675732  12607949  12402166  13833326   2734145  12023904   12366456   11769577   2262379   2521730   9895186  11962290
          262144    8192   1721618   2341345  11006143  11912393  11001078   2426675  11226745    9361305   10217578   2636624   2608346  11449810  11537517
          262144   16384   2034283   2713792   8845784   8967639   8661336   2940147   8568993    5969351    8518604   2871808   3028325   8778269   9248312
          524288      64   1156388   1333201  12561123  11773534  10971373    946227  10735488   15677543   10338720   1501677   1496575  12566866  12666031
          524288     128   1168020   1286704  11260192  12470302  11614223   1143884  11426892   15156395    9763811   1359674   1373632  11021634  12291651
          524288     256   1205279   1391223  12141665  11611402  11018154   1423257  11319778   14295541   11365177   1474868   1510606  12390412  12295637
          524288     512   1166847   1797267  12334189  12205552  11787292   1797420  12171234   13407876   11844560   1774853    130900  10679494  11942463
          524288    1024    151113   1542917  11985096  12393066  12273814   1188678  11631178   13658291   12205756   1418166   1492800  11020971  12011151
          524288    2048   1256070   1347922   9414561  10808305  11143446   1694553  12233664   13197216   11756917   1711775   1435941  11745299  12760106
          524288    4096   1464230   1811018  12181145  12141866  11487960   1838626  11118880   11748500   11765849   1768667   1702814  11014678  11889452
          524288    8192   1559634   1832073  10318588  11632286  11458628   1587759  10874420    9385590   11000352   1331968   1334816  10164531  11414910
          524288   16384   1039742   1289815   9115356   7930643   8812597   1318233   9190635    6047489    8954523   1446363   1446615   8846347   8988452
         1048576      64   1103855   1436175  11983196  11437584  10561695    109782  10778289   15403270   10562431   1196339   1186876  12168836  11785201
         1048576     128    479370   1569106  11985384  11929597  11106407    714441  11625546   14630221   11440232   1480796   1391055  11360269  11907117
         1048576     256    770852   1058109  12570127  11562584  11355107   1066531  11131144   14314050   11012493   1129729   1146506  13037784  10827138
         1048576     512   1240771    451446  11879073  11477282  11457100    118336  11700921   13715315   11510052   1161335   1147489  11650707  11377520
         1048576    1024   1045678   1547192  11949303  11790098  11789308   1463224  11641270   13182691   11370725   1428308   1521470  11820646  11453609
         1048576    2048   1231056    126162  11897132  11754931  11179215    227099  11968000   12823347   11436097   1143232   1133270  11134582  11919412
         1048576    4096   1250942   1507468  11509269  11991397  11136809   1475008  11803641   12333871   11150786   1021756   1077574  11674706  11406497
         1048576    8192    982571   1176151  10848985  10580243  10933728   1035230  11177198    8250073   11371107   1172233   1164683  10818429  10737895
         1048576   16384    963270   1433309   8601933   8552603   8889399   1467484   8522936    6010930    8234857   1390608   1516826   8502324   8914860

iozone test complete.
Timer resolution is poor. Some small transfers may have
reported inaccurate results. Sizes 64 kBytes and below.
